STATE,SEX,AGEGRP,NMEMB,YEAR
Washington,2,00_04,11860,2010
Washington,1,05_09,15059,2010
Washington,2,05_09,14399,2010
Washington,1,10_19,38647,2010
Washington,2,10_19,36690,2010
Washington,1,20_29,26520,2010
Washington,2,20_29,26278,2010
Washington,1,30_39,29386,2010
Washington,2,30_39,30927,2010
Washington,1,40_49,43722,2010
Washington,2,40_49,44448,2010
Washington,1,50_59,47298,2010
Washington,2,50_59,46447,2010
Washington,1,60_69,14052,2010
Washington,2,60_69,14642,2010
Washington DC,1,00_04,478,2010
Washington DC,2,00_04,394,2010
Washington DC,1,05_09,345,2010
Washington DC,2,05_09,323,2010
Washington DC,1,10_19,536,2010
Washington DC,2,10_19,624,2010
Washington DC,1,20_29,1360,2010
Washington DC,2,20_29,1530,2010
Washington DC,1,30_39,1872,2010
Washington DC,2,30_39,1837,2010
Washington DC,1,40_49,1465,2010
Washington DC,2,40_49,1241,2010
Washington DC,1,50_59,1049,2010
Washington DC,2,50_59,1156,2010
Washington DC,1,60_69,380,2010
Washington DC,2,60_69,463,2010
West Virginia,1,00_04,3922,2010
West Virginia,2,00_04,3685,2010
West Virginia,1,05_09,4677,2010
West Virginia,2,05_09,4519,2010
West Virginia,1,10_19,9852,2010
West Virginia,2,10_19,9734,2010
West Virginia,1,20_29,6988,2010
West Virginia,2,20_29,6601,2010
West Virginia,1,30_39,10996,2010
West Virginia,2,30_39,10086,2010
West Virginia,1,40_49,12058,2010
West Virginia,2,40_49,11824,2010
West Virginia,1,50_59,14007,2010
West Virginia,2,50_59,13714,2010
West Virginia,1,60_69,5042,2010
West Virginia,2,60_69,5002,2010
Wisconsin,1,00_04,17028,2010
Wisconsin,2,00_04,16198,2010
Wisconsin,1,05_09,19430,2010
Wisconsin,2,05_09,18685,2010
Wisconsin,1,10_19,43078,2010
Wisconsin,2,10_19,41863,2010
Wisconsin,1,20_29,26093,2010
Wisconsin,2,20_29,30695,2010
Wisconsin,1,30_39,35230,2010
Wisconsin,2,30_39,39411,2010
Wisconsin,1,40_49,47729,2010
Wisconsin,2,40_49,53155,2010
Wisconsin,1,50_59,49400,2010
Wisconsin,2,50_59,54944,2010
Wisconsin,1,60_69,15160,2010
Wisconsin,2,60_69,15758,2010
