STATE,SEX,POPSIZE,AGEGRP
Utah,1,106487,60_69
Utah,2,113108,60_69
Vermont,1,38611,60_69
Vermont,2,41006,60_69
Virginia,1,407219,60_69
Virginia,2,447422,60_69
Washington,1,364930,60_69
Washington,2,390238,60_69
West Virginia,1,117002,60_69
West Virginia,2,121863,60_69
Wisconsin,1,306510,60_69
Wisconsin,2,315290,60_69
Wyoming,1,33047,60_69
Wyoming,2,31422,60_69
