STATE,SEX,AGEGRP,NMEMB
Washington DC,1,05_09,291
Washington DC,2,05_09,242
Washington DC,1,10_19,415
Washington DC,2,10_19,406
Washington DC,1,20_29,1167
Washington DC,2,20_29,1411
Washington DC,1,30_39,1621
Washington DC,2,30_39,1773
Washington DC,1,40_49,1023
Washington DC,2,40_49,1058
Washington DC,1,50_59,876
Washington DC,2,50_59,832
Washington DC,1,60_69,266
Washington DC,2,60_69,352
West Virginia,1,00_04,1279
West Virginia,2,00_04,1158
West Virginia,1,05_09,1548
West Virginia,2,05_09,1510
West Virginia,1,10_19,3556
West Virginia,2,10_19,3456
West Virginia,1,20_29,3482
West Virginia,2,20_29,3103
West Virginia,1,30_39,3599
West Virginia,2,30_39,3219
West Virginia,1,40_49,4284
West Virginia,2,40_49,4013
West Virginia,1,50_59,4996
West Virginia,2,50_59,4928
West Virginia,1,60_69,2153
West Virginia,2,60_69,2252
Wisconsin,1,00_04,9508
Wisconsin,2,00_04,8966
Wisconsin,1,05_09,10879
Wisconsin,2,05_09,10789
Wisconsin,1,10_19,24322
Wisconsin,2,10_19,24044
Wisconsin,1,20_29,21618
Wisconsin,2,20_29,23092
Wisconsin,1,30_39,20787
Wisconsin,2,30_39,24585
Wisconsin,1,40_49,23512
Wisconsin,2,40_49,26642
Wisconsin,1,50_59,29690
Wisconsin,2,50_59,34523
Wisconsin,1,60_69,12095
Wisconsin,2,60_69,13271
Wyoming,1,00_04,816
Wyoming,2,00_04,733
Wyoming,1,05_09,882
Wyoming,2,05_09,841
Wyoming,1,10_19,1752
Wyoming,2,10_19,1738
Wyoming,1,20_29,1635
Wyoming,2,20_29,1744
Wyoming,1,30_39,1665
Wyoming,2,30_39,1745
Wyoming,1,40_49,1466
Wyoming,2,40_49,1477
Wyoming,1,50_59,1684
Wyoming,2,50_59,1900
Wyoming,1,60_69,705
Wyoming,2,60_69,704
